;PUESTO;OPERACION;DESCRIPCIÓN
1;Tronzadora;Tronzadora;Cortar madera de largo
2;Sierra;Sierra;Seccionar madera
3;Moldurera;Moldurera;Cepillar madera a 4 caras
4;Tupi (especiales);Tupi (especiales);Trabajos especiales
5;CNC;CNC;Perfilar, moldurar y mecanizar piezas ventana
6;Calibradora;Calibradora;Lijar ventanas y marcos
7;Clips;Clips;Colocar clips de sujeción aluminio en banco herrajes
8;Prensa;Prensa;Armar ventanas y marcos
9;Repasado;Repasado;Repasar final ajunquillado antes de barnizar
10;Fallebas;Fallebas;Colocar fallebas a las ventanas en banco herrajes
11;Montar hojas;Montar hojas;Colocar herrajes, aluminio, gomas y vidrio a las hojas
12;Montar marcos;Montar marcos;Colocar aluminio a los marcos
13;Abisagrar;Abisagrar;Montar marcos, colocar cajón y colgar hojas en los marcos
14;Corte aluminio;Corte aluminio;Cortar perfiles de aluminio
15;Ensamblar y colocar gomas;Ensamblar y colocar gomas;Armar perfiles de aluminio y colocar las gomas
